Datum	Lokacija	Organizator / Izvođač	Aktivnost (Naziv i kratak opis događaja)	Linkovi	Kategorija
22.04.2011.	Studentski klub 'Božo Lerotić' Zadar	Šigureca	4. ZADARSKA GITARIJADA                                                                               3. kvalifikacijski ciklus pod nazivom 'Za šaku metala'                   Nakon odgode zbog  poteškoća oko prostora, 22. travnja 2011. je ipak održan treći kvalifikacijski koncert u sklopu ovogodišnje Zadarske gitarijade u Studentskom klubu Božo Lerotić. Natjecali su se bendovi Imaginarium, Besthial, Dream-Hound, Omnious Omission, Inverter i hear them suffer. Glasovima publike pobjedu je odnio DreamHound.	http://www.ezadar.hr/clanak/za-saku-metala-22-travnja-u-studentskom-klubu http://www.057info.hr/zabava/2011-04-19/za-saku-metala-ovaj-petak-u-studentskom-klubu  	Glazba (koncert)
22.04.2011.	Foša Zadar	Zadarski plesni ansambl i Glazbena škola Blagoje Bersa zajedno sa udrugom Eko Zadar	PLESNI PERFORMANS „EKO ECHO“ POVODOM DANA PLANETE ZEMLJE I ROĐENDANA EKO ZADRA                                                  Povodom obilježavanja Dana planete zemlje, Zadarski plesni ansambl i Glazbena škola Blagoje Bersa zajedno su sa Udrugom Eko Zadar  održali plesni performans „Eko Echo“ inspiriran predivnim zadarskim ambijentom. Autorica projekta je Sanja Petrovski, a koreografi su svi sudionici performansa kojih je bilo 40.	http://www.ezadar.hr/clanak/performansom-na-fosi-odana-pocast-ljepotama-zadra-i-danu-planete-zemlje http://www.ezadar.hr/clanak/eko-zadar-reciklirajmo-zajedno http://www.znet.hr/2011/04/clanovi-zadarskog-plesnog-ansambla-i-glazbene-skole-blagoja-berse-zaplesali-u-fosi/ 	Plesni performans
29.04. - 01.05.2011.	Kutina	Kreativni studio  Lumiere media	LUMIERE MEDIA POTAKNULI FOTO DANE U KUTINI                             Foto dani mladih održavaju se od 29. travnja do 1. svibnja u Kutini, a jedan od ciljeva Foto dana je stvaranje kvalitetne turističke fotografije i zbližavanje mladih koje zanima ova suvremena umjetnost.	http://www.lumiere.com.hr/novosti/zavrsili-1-foto-dani-mladih/69.html http://www.ezadar.hr/clanak/pogledajte-kako-je-bilo-na-1-foto-danima-mladih http://www.tportal.hr/portalplus/teen/125782/Zavrsili-prvi-Foto-dani-mladih-u-Kutini.html 	Fotografija
29.4.2011.	Trg pet bunara Zadar	ne uspijevam pronaći, help	ŽESTOKA SVIRKA NA OTVORENOM                                                               29. travnja na Trgu pet bunara održan je koncert  četiri benda su održali koncert, tri zadarska i jedan splitski. Koncert je otvorio izvrsni DJ-MC duo braća Žura, poznatiji kao 'Shtemanje d.o.o.' sa svojom jednosatnom kombinacijom Industrial, EBM, Powernoize, Underground i srodne glazbe. Nastupli su redom: Stimulans iz Splita, E.N.D., Postolar Tripper i Rising dream.	http://www.ezadar.hr/clanak/rising-dream-postolari-e-n-d-i-stimulans-protresti-ce-trg-pet-bunara http://www.ezadar.hr/clanak/pet-bendova-zapalilo-trg-pet-bunara http://www.zadarskilist.hr/clanci/02052011/vracena-vjera-u-bolje-dane-underground-scene 	Glazba
30.04.2011.	plaža Zlatorog kraj Umaga / III Dernek	Kulturna udruga mladih „Fobija“ Umag je organiizator Festivala 'III Dernek'	TRN U OKO' NASTUPA U UMAGU                                                       Zadarski punk bend “Trn u oku“  nakon punih 11 godina  izbacio je novi album pod nazivom „Volim svoju trku…“ kojeg će predstaviti na III. Derneku koji će se održati na plaži Zlatorog kraj Umaga	http://www.057info.hr/zabava/2011-04-28/poziv-pankerima-na-umaski-dernek-za-1-maja http://www.ezadar.hr/clanak/trn-u-oku-na-trecem-derneku-kraj-umaga http://www.last.fm/event/1884219+Dernek+%233  	Glazba ?
07.05.2011.	Arsenal Zadar	Plesna udruga 'U pokretu'	BREAK DANCE TURNIR „NEW KIDZ ON THE BLOCK“                                  7. svibnja u Arsenalu održao se break dance turnir „New kidz on the block“ namijenjen osnovcima i mlađoj djeci  u organizaciji Plesne udruge „U pokretu“.	http://www.zadarskilist.hr/clanci/09052011/break-dance--natjecanje-u-arsenalu http://www.voxportal.hr/vijest/azra-martine-presents-te-zadarski-fotografi/9155.html 	Ples (breakdance)
19.05.2011.	brojne lokacije u Zadru	Teatro VeRRdi i Mavena	MEĐUNARODNA NOVOMEDIJSKA IZLOŽBA NA TEMU  „REVOLUTION NOW & FOREVER“                                              Novomedijska galerija je projekt kojeg su započeli Teatro VeRRdi i udruga Mavena iz Splita sa ciljem njegovanja novomedijskih sadržaja u Zadru.  19. svibnja performansom Selme Banich otvorena je međunarodna novomedijska izložba na temu „REVOLUTION NOW & FOREVER“, koja je u 10 dana predstavila 40 umjetnika i 21 umjetnički rad, u vidu performansa, glazbenih performansa, instalacija, intervencija u javnom prostoru, videoperformansa, filmova i dr.	http://www.ezadar.hr/clanak/hrvatska-narodna-predaja-selme-banich http://novine.novilist.hr/default.asp?WCI=Rubrike&WCU=285928602863285D2863285A28582859285928632893289D2894289C28632863285D285D285D285E285B286128632863286328582863T 	Novomedijska izložba
20.05.2011.	Kneževa palača Zadar	Šigureca	UDRUGA ŠIGURECA SLAVI 4.ROĐENDAN                                        Povodom 4. rođendana, Udruga „Šigureca“ priprema 20.svibnja nastup legendarnih Goblina, punk benda iz Šabca. Kao domaćini nastupiti će zadarske punk snage Tehnička Greška i Harald Blixen. Koncert će se održati u Providurovoj palači.	http://www.znet.hr/2011/04/udruga-sigureca-najavljuje-nastup-legendarnih-goblina/ http://www.zadarskilist.hr/clanci/23052011/vrhunska-punk-zabava 	Glazba (punk koncert)
21.05.2011.	parking', odnosno nekadašnja lokacija zgrade Zaraušek	Zadarski plesni ansambl, Šigureca, Artikultura i Zadar snova	PERFORMANS „ZVIZDAN ZARAUŠEK“ – ČUVAJMO MJESTA“ Održao se 21. svibnja na današnjem „parkingu“ nekadašnjoj lokaciji srušene zgrade Zaraušek. Akcija je upozorenje da atraktivni prostori grada Zadra već godinama šaptom padaju dok alternativna kultura i kultura mladih vapi za prostorom druženja i artikulacije. Parkirna mjesta zauzela je udruga Šigureca, Zadarski plesni ansambl, Artikultura i Zadar snova.	http://www.voxportal.hr/vijest/i-dalje-traje-nezadovoljstvo-rusenjem-zgrade-zarauschek/9893.html	 Performans 
25.05.2011.	Callegro Zadar	KUD 'Bleke i konji'	PREMIJERA FILMA 'OD BLEKE DO KONJA'                                                      U realizaciji KUD –a „Bleke i konji“ održana 25.svibnja u Callegru. Enio Meštrović predsjednik udruge, složio je film koji je snimljen tijekom tri poslijepodneva i bez napisanog scenarija	http://www.zadarskilist.hr/clanci/25052011/od-bleke-do-konja http://www.voxportal.hr/vijest/premijera-filma-od-bleke-do-konja-makeover/10081.html http://www.voxportal.hr/vijest/premijera-filma-od-bleke-do-konja-makeover/10081.html  	Film
